Ski Area,State,Website,Year Opened,googID,lat,long
"DNC Parks & Resorts at Yosemite, Inc.",CA,www.yosemitepark.com,1935,ChIJ1YjKxEPyloARSsQ3cSf_t6U,37.66227,-119.66337
Heiliger Huegel Ski Club,WI,www.hhskiclub.com,1935,ChIJe8S7Z-5RBIgRJDYjLP6PZUc,43.25212,-88.31113
Lookout Pass Ski & Recreation Area,ID,www.skilookout.com,1935,ChIJ96mFVLT2YFMR57J2rb8ckeI,47.45602,-115.69725
Soda Springs Ski Area,CA,www.skisodasprings.com,1935,ChIJn-5h6FDom4ARA6cDqdK8EEY,39.3214,-120.38
Brighton Ski Resort,UT,www.brightonresort.com,1936,ChIJI5d9nndxUocRgGEm71g1iO8,40.59845,-111.58385
Bromley Mountain Resort,VT,www.bromley.com,1936,ChIJBe6QUJ1a4IkR1iZx7WRuPzs,43.21316,-72.9351
Middlebury College Snow Bowl,VT,www.middleburysnowbowl.com,1936,ChIJn_bxwNY4tUwRD2nl9lDAoKU,43.93919,-72.95759
Mount Peter,NY,www.mtpeter.com,1936,ChIJCeIb_Lomw4kRlmyQeeYlp4E,41.2478,-74.29519
Showdown Montana,MT,www.showdownmontana.com,1936,ChIJB2AYe-vxQ1MR3yi8a_6ffls,46.83836,-110.70048
Sleeping Giant Ski Area,WY,www.skisg.com,1936,ChIJQwiZyvR0TlMRbYu6eWcRDsE,44.49292,-109.93944
Sun Valley Resort,ID,www.sunvalley.com,1936,ChIJJ91KWyydqVQR6NMN7dYN5pk,43.69488,-114.35432
Terry Peak Ski Area,SD,www.terrypeak.com,1936,ChIJE26Q0lSkMlMRVFDCeeyZSBY,44.33459,-103.84033
Caberfae Peaks,MI,www.caberfaepeaks.com,1937,ChIJ11Gjn3_5HogRXJTcTihk80M,44.24471,-85.72057
Cranmore Mountain Resort,NH,www.cranmore.com,1937,ChIJfdx4rx-hs0wRkLpYmf0H7VI,44.05648,-71.11012
Donner Ski Ranch,CA,www.donnerskiranch.com,1937,ChIJm8gDU2jom4AReI3ERfRBTQ8,39.31816,-120.33014
Granite Peak at Rib Mountain State Park,WI,www.skigranitepeak.com,1937,ChIJ4Uvtm_QhAIgR55picTcTV5o,44.92924,-89.68316
Gunstock Mountain Resort,NH,www.gunstock.com,1937,ChIJueRrN70xs0wR4R0BUzWT65U,43.54106,-71.36288
Loveland Ski Area,CO,www.skiloveland.com,1937,ChIJDW4E2OtRaocR6Ny-eVsZRyY,39.68006,-105.89795
Mt. Zion,MI,www.gogebic.edu/why-gcc/mt-zion.php,1937,ChIJYZMQWjQoAxURs1W3KHSyWpc,46.47432,-90.16355
Payette Lakes Ski Club,ID,www.littleskihill.org,1937,ChIJPQvCHGhhplQRwL3zcGJYHm8,44.92999,-116.16308
Sandia Peak Ski Area,NM,www.sandiapeak.com,1937,ChIJo6jS8miZGIcR2lRlZoPjCaE,35.20705,-106.41338
Snow Valley Mountain Resort,CA,www.snow-valley.com,1937,ChIJvaI3pDOsxIARVsTms9n1Tcc,34.22495,-117.03603
Stevens Pass,WA,www.stevenspass.com,1937,ChIJDaQL2StdkFQRZ5c7p9U5LQ8,47.74469,-121.08943
Suicide Six Ski Area,VT,www.suicidesix.com,1937,ChIJJWI57iDY4YkRX54eQvj9qpU,43.66506,-72.54327
The Summit At Snoqualmie,WA,www.summitatsnoqualmie.com,1937,ChIJAQAAwAt5mlQRLGM5bDxQQls,47.4245,-121.41613
Timberline Lodge & Ski Area,OR,www.timberlinelodge.com,1937,ChIJoxJzo6oevlQR8qSMK5G0OGc,45.33113,-121.71101
Abenaki Ski Area,NH,www.wolfeboronh.us/abenaki-ski-area,1938,ChIJfT74KQgls0wRi2FhrILqpho,43.60951,-71.22975
Alta Ski Area,UT,www.alta.com,1938,ChIJxYIVNIFwUocRaBKDOorS2RE,40.57765,-111.62396
Arizona Snowbowl,AZ,www.snowbowl.ski,1938,ChIJzdIEEHSHLYcRZ8G1XmEnbk0,35.33071,-111.70584
Cannon Mountain,NH,www.cannonmt.com,1938,ChIJf4GrJmZ8tEwRQKsl413nOhI,44.17737,-71.70182
Hoodoo Ski Area,OR,www.hoodoo.com,1938,ChIJnX2OP0w3v1QRa6S6FFt3zCg,44.40864,-121.87142
"Lost Trail Ski Area, Inc.",MT,www.losttrail.com,1938,ChIJbRVIxj4-WVMRIgLZKu8Cj6o,45.69226,-113.95207
Mt. Spokane Ski & Snowboard Park,WA,www.mtspokane.com,1938,ChIJUeCtLTTwYVMRIL3UuNGsVn8,47.92101,-117.09597
Shawnee Peak Ski Area,ME,www.shawneepeak.com,1938,ChIJXwtBEU2ss0wR6aQE2lDhGZk,44.05832,-70.81516
Wilmot Mountain,WI,www.wilmotmountain.com,1938,ChIJl8NTEawsDogRv8M0OOcc4Zw,42.49895,-88.18766
Beaver Mountain Ski Area,UT,www.skithebeav.com,1939,ChIJTT5jj-hrVIcRZx0snw1lcQE,41.96808,-111.54414
Camden Snow Bowl,ME,www.camdensnowbowl.com,1939,ChIJ4XgDy7rZrUwRTbZIf58LZqM,44.2166,-69.13456
Catamount Mountain Resort,NY,www.catamountski.com,1939,ChIJC6Lh4tGJ3YkRboInmW-ybps,42.1691,-73.47693
Laurel Mountain,PA,www.laurelmountainski.com,1939,ChIJ48rOmq0ny4kRCY9bV1qaEtU,40.16389,-79.16538
Monarch Mountain,CO,www.skimonarch.com,1939,ChIJtzbUKLpCFYcRGpheZl7SdZw,38.51206,-106.33197
Otsego Resort,MI,www.otsegoresort.com,1939,ChIJqdXOEfVFNU0R-UGdHDjp7ao,45.03164,-84.65181
Pine Mountain Ski Resort,MI,www.pinemountainresort.com,1939,ChIJ-Z6D5BdLUk0RG2D1daePxEo,45.83912,-88.08874
Ski Ward Ski Area,MA,www.skiward.com,1939,ChIJ5bIUkuIJ5IkRP4E8nFFli1Y,42.30148,-71.68298
Snow King Mountain Resort,WY,www.snowkingmountain.com,1939,ChIJ6eWS-moaU1MRHFXL-6rFYMQ,43.47281,-110.75604
Sugar Bowl Resort,CA,www.sugarbowl.com,1939,ChIJcfnrZqjpm4ARFWv6zN7M5NI,39.30516,-120.33305
Victor Constant Ski Area,NY,https://westpoint.armymwr.com/programs/victor-constant-,1939,ChIJ6zOgkx3NwokRrAq26yW51oM,41.39553,-73.98353
White Pine Ski Area,WY,www.whitepineski.com,1939,ChIJ8U6lU6fyV4cRovjSInNPnus,42.97785,-109.75866
Wolf Creek Ski Area,CO,wolfcreekski.com,1939,ChIJzbcckqIJPocR-zVp8LqNQOU,37.4722,-106.79303
Snowbasin Resort Co.,UT,www.snowbasin.com,1940,ChIJw0tLrR0IU4cRb_BqCLsctfY,41.20061,-111.86145
Winter Park Resort,CO,www.winterparkresort.com,1940,ChIJI0qcWKXKa4cRFu-NV44W0Zo,39.86278,-105.77874
Great Divide Ski Area,MT,skigd.com,1941,ChIJpz-MAhC0XFMRiWocb2MnYx0,46.75307,-112.31348
Little Switzerland,WI,www.littleswitz.com,1941,ChIJvwTq7V5aBIgRiwvvm0lShHM,43.33798,-88.27894
Willamette Pass Resort,OR,www.willamettepass.com,1941,ChIJidiNWQ4fwVQRbyYLoPrWuy4,43.60028,-122.03595
Bogus Basin Mountain Recreation Area,ID,www.bogusbasin.org,1942,ChIJI86HtAwdr1QRLr_Y1U5S_Qo,43.76428,-116.10348
"Mt. Waterman Ski Lift, LLC",CA,www.mtwaterman.org,1942,ChIJK0r8Ev_hwoARGw8qtnXtg_8,34.34931,-117.92879
Ski Cooper,CO,www.skicooper.com,1942,ChIJYbUu1wOPaocRTDe7TMTsUhE,39.3602,-106.30144
Pajarito Mountain Ski Area,NM,www.pajarito.ski,1944,ChIJcb2i2lLaGYcRZWd_of2gYws,35.89482,-106.39073
Snowhaven,ID,http://grangeville.us/snowhaven-ski-and-tubing-hill/,1944,ChIJa8zPfHjBoFQR1OfQkoHnl2Q,45.86914,-116.09037
Magic Mountain Resort,ID,www.magicmountainresort.com,1945,ChIJZcZyeWSjrFQR9aBx3A20uIM,42.18942,-114.28532
Mt. Lemmon Ski Valley,AZ,www.skithelemmon.com,1945,ChIJdW2hATgU1oYRAshnDyh0yZ0,32.4475,-110.78167
Powers Bluff Park - Wood County Parks and Forestry Department,WI,http://www.co.wood.wi.us/Departments/Parks/,1945,ChIJNzyP2TXX_4cRK9M9xXIs4Jg,44.52617,-90.06596
Sky Tavern,NV,www.skytavern.org,1945,ChIJFZVNNyJsmYARqosfF4RISB4,39.33691,-119.87252
Snow Ridge Resort,NY,www.snowridge.com,1945,ChIJNbM94bro2IkRbzfdJ5hkvSM,43.63975,-75.42012
Arapahoe Basin Ski Area,CO,www.arapahoebasin.com,1946,ChIJWd2U7rRQaocRllxVIFIp5Ts,39.63411,-105.87147
Bear Mountain Resort,CA,www.bigbearmountainresort.com,1946,ChIJ11JUbu60xIARTI9O4HIRJHw,34.22805,-116.86043
Otis Ridge,MA,www.otisridge.com,1946,ChIJsVuPbs1q54kRN8WNTwdQBvo,42.19639,-73.09833
Aspen Mountain,CO,www.aspensnowmass.com,1947,ChIJid6VYmI5QIcR-ey17iF1WfM,39.18627,-106.81821
Big Boulder Ski Area,PA,www.jfbb.com,1947,ChIJgVqQtt74xIkRHGcWvKvjZuE,41.05019,-75.60128
Boyne Mountain Resort,MI,www.boynemountain.com,1947,ChIJK41ab4-hSk0RUdnW48_X9i4,45.16406,-84.92839
Mohawk Mountain Ski Area,CT,www.mohawkmtn.com,1947,ChIJBWf5iPGE54kROUJqRalNCxQ,41.83823,-73.31506
Ski Santa Fe,NM,www.skisantafe.com,1947,ChIJDdAJ_0ZQGIcRkiBRi7X-cT0,35.79631,-105.80117
Soldier Mountain Ski Area,ID,www.soldiermountain.com,1947,ChIJcSvytcPjq1QRtJRwhLVZK4I,43.48551,-114.82938
Swain Resort,NY,www.swain.com,1947,ChIJsZModyOB0YkRRyPAXZP3_hE,42.4766,-77.85513
Whitefish Mountain Resort,MT,www.skiwhitefish.com,1947,ChIJYYdK77xuZlMRRcGgUBE1He4,48.49304,-114.34765
Bradford Ski Area,MA,www.skibradford.com,1948,ChIJSxMKkJkD44kRuDcL6y2ZpHk,42.74473,-71.05582
Jiminy Peak Mountain Resort,MA,www.jiminypeak.com,1948,ChIJpYT047JS54kRNXNRNOb_dT0,42.55565,-73.28999
Lutsen Mountains,MN,www.lutsen.com,1948,ChIJB3he27ozplIRg7QMqPDWbko,47.66371,-90.71356
Mad River Glen,VT,www.madriverglen.com,1948,ChIJO6I5jHpxtUwRB8q1KWPTWQo,44.20248,-72.91754
Mont Du Lac Resort,WI,www.mdlresort.com,1948,ChIJlav5nfA3rlIRs3om3KCUsJ8,46.65162,-92.28434
Mount Sunapee Resort,NH,www.mountsunapee.com,1948,ChIJk6-DXMPz4YkReWIDJZUN5XQ,43.3314,-72.08048
Oak Mountain,NY,www.oakmountainski.com,1948,ChIJr1e6A1kO34kRRuRKek2gjx0,43.51398,-74.36074
Arctic Valley Ski Area,AK,arcticvalley.org,1949,ChIJBfJ2ykaUyFYRro0hE32BIvs,61.23351,-149.67275
Belleayre Mountain,NY,www.belleayre.com,1949,ChIJLayhEE5f3IkRloqfwoAVHGE,42.14109,-74.50192
Buena Vista Ski Area,MN,www.bvskiarea.com,1949,ChIJL4qOsIE1uFIRppj396c4ySw,47.65802,-94.87891
Mt. Holiday,MI,www.mt-holiday.com,1949,ChIJ5zvmswzOH4gRCeAYAEtQSGI,44.74349,-85.5141
Pebble Creek Ski Area,ID,www.pebblecreekskiarea.com,1949,ChIJjaHlFJFhVYcRnVH3a22ZybY,42.77856,-112.15928
Snow Snake Ski & Golf,MI,www.snowsnake.net,1949,ChIJc3dks93nIYgRzLoywkPYKJw,43.95898,-84.7807
Palisades Tahoe (formally Squaw Valley / Alpine Meadows),CA,www.palisadestahoe.com,1949,ChIJPSaP8OzZm4ARDxeFl_CIvjA,39.19061,-120.24839
Dodge Ridge Ski Area,CA,www.dodgeridge.com,1950,ChIJA1QXJQdIl4ARjwT3jstH-Pw,38.1898,-119.95586
Hillberg Ski Area,AK,https://jberlife.com/hillberg,1950,ChIJAQAAADyWyFYROjLclSpYaeE,61.2752,-149.82081
Snow Schoolers @ Kingvale,CA,www.snowschoolers.com,1950,ChIJG_MAHWlimYARQhbFNZ29CPE,39.31334,-120.44573
Trollhaugen Winter Recreation Area,WI,www.trollhaugen.com,1950,ChIJr715ptKbslIRwKp33qDOmDk,45.35132,-92.61809
Hickory Hills,MI,www.ci.traverse-,1951,ChIJf3y4nqEyHogRLwX_bEJi_F8,44.76818,-85.66063
Maverick Mountain Resort,MT,www.skimaverick.com,1951,ChIJubFRi8mLWVMRTVFj9wnTLME,45.43392,-113.12858
Sugarloaf,ME,www.sugarloaf.com,1951,ChIJpamSYuYcsUwRz4YLzvr_vCQ,45.0541,-70.30853
Hyland Hills Ski Area,MN,www.hylandski.com,1952,ChIJffbj-6Mj9ocRRvZcYyizOWg,44.84363,-93.36361
Mt. Baldy Ski Lifts,CA,www.mtbaldyresort.com,1952,ChIJc1TA560-w4ARpvvPkEsdqe8,34.27008,-117.62191
Oglebay Resort,WV,www.oglebay-resort.com,1952,ChIJoUYyCnLQNYgRqn4nT8E41PU,40.09939,-80.6605
Pine Creek Ski Resort,WY,www.pinecreekskiresort.com,1952,ChIJqelggRS8VocRl9hU6RCCaow,42.10295,-110.8288
Sipapu Ski & Summer Resort,NM,www.sipapu.ski,1952,ChIJcb2i2lLaGYcRZWd_of2gYws,36.1542,-105.54828
Snow Summit Mountain Resort,CA,www.bigbearmountainresort.com,1952,ChIJ52d4OX-0xIARLdgn9vWEH84,34.23633,-116.88903
White Pass Ski Area,WA,www.skiwhitepass.com,1952,ChIJ44b0qw87l1QRhIFJ8VjpS98,46.63735,-121.39132
Mammoth Mountain Ski Area,CA,www.mammothmountain.com,1953,ChIJ0dOf1E4NloARFFYXnSjDqQ0,37.63889,-119.02622
Mt. Baker Ski Area,WA,www.mtbaker.us,1953,ChIJH8y59xX2hFQRoidrs5m7ThQ,48.85729,-121.66666
Buck Hill Ski & Snowboard Area,MN,www.buckhill.com,1954,ChIJ3Ro7GYk59ocRKWgYP_xfmC0,44.72484,-93.28367
Mount Snow Resort,VT,www.mountsnow.com,1954,ChIJR55j8Mz74IkRu7oTWKsZk1w,42.96788,-72.89446
Treetops Resort,MI,www.treetops.com,1954,ChIJHU0zyuRHNU0RX_7bsT3OLUI,45.03307,-84.58928
Bridger Bowl Ski Area,MT,www.bridgerbowl.com,1955,ChIJH3O8KzVrRVMRXN-EtehaMvs,45.81736,-110.89662
Heavenly Mountain Resort,NV,www.skiheavenly.com,1955,ChIJa63Vr0SQmYARmO743eBe-IE,38.92872,-119.90512
Hidden Valley Resort,PA,www.hiddenvalleyresort.com,1955,ChIJkVLwzNHWyokRu6ibMM3kuaA,40.05803,-79.25812
Jay Peak Resort,VT,www.jaypeakresort.com,1955,ChIJCV2fXC8PtkwRE0S_WO0Ctms,44.9379,-72.50477
"Taos Ski Valley, Inc.",NM,www.skitaos.com,1955,ChIJAQAA8ONqF4cR9eBKl-nFS88,36.59474,-105.45007
Burke Mountain Resort LLC,VT,www.skiburke.com,1956,ChIJY-SvngowtEwR_UJprskeGq8,44.58784,-71.91638
Crystal Mountain,MI,www.crystalmountain.com,1956,ChIJSRqp_M25kFQRaYYhply2ZxM,44.51991,-85.99218
Dartmouth Skiway,NH,www.dartmouthskiway.com,1956,ChIJrRQl7MC7tEwRw_ogpTSniaE,43.78775,-72.09954
"Mt. Holly Ski Resort, Inc.",MI,www.skimtholly.com,1956,ChIJzcWOojCdJIgRy3n7DNEXDVQ,42.83089,-83.56422
Okemo Mountain Resort,VT,www.okemo.com,1956,ChIJzxImTjE14IkRRUrlNrmxsBY,43.41041,-72.729
Ski Brule,MI,www.skibrule.com,1956,ChIJcfB8Qwv3U00RfgXoN-tUfio,46.02968,-88.70123
Smugglers' Notch Resort,VT,www.smuggs.com,1956,ChIJ05uqxVKNtUwRoyzvboa802c,44.59055,-72.78442
Wisp Resort,MD,www.wispresort.com,1956,ChIJlUW6K0GryokRtoGLdHbHdac,39.55687,-79.36345
Greek Peak Mountain Resort,NY,www.greekpeakmtnresort.com,1957,ChIJ-fbhlfNo2okRwWWpK4hfbKk,42.50859,-76.14485
Holiday Mountain Ski Area,NY,www.holidaymtn.com,1957,ChIJc-eYs8y33IkR5JFLfK4FiPo,41.6296,-74.6148
Solitude Mountain Ski Area,UT,www.solitudemountain.com,1957,ChIJv3cRQipuUocRZmsDsp0-xq8,40.61089,-111.59688
Aspen Highlands,CO,www.aspensnowmass.com,1958,ChIJ-xVY6Bo5QIcR4M1uLheeNFE,39.18201,-106.8564
Buttermilk,CO,www.aspensnowmass.com,1958,ChIJp5lZdWhERVMRt3ZdJb73hK8,39.2085,-106.858
Camp 10 Ski Area,WI,www.camp10skiandsnowboard.com,1958,ChIJi5nR6iQHVU0RC_rHAGRFDYc,45.54918,-89.50294
China Peak Mountain Resort,CA,www.skichinapeak.com,1958,ChIJVVVVVSRelIARyYeaEONT-Fc,37.23644,-119.15737
Detroit Mountain Recreation Area,MN,www.detroitmountain.com,1958,ChIJHxtSBRdIyFIR8Oo0GeGZ638,46.81309,-95.78328
Hogadon Basin Ski Area,WY,http://hogadon.net/,1958,ChIJg-Ydu-28YIcR445FjPaC9t0,42.74529,-106.339
Holiday Valley Resort,NY,www.holidayvalley.com,1958,ChIJn0kPI2CK0okRkSAe4K7ZRL4,42.26256,-78.66739
Hurricane Ridge Ski Area,WA,www.hurricaneridge.com,1958,ChIJfXjAFutKjlQRn9zPne8H-7s,47.96998,-123.49514
Killington Resort,VT,www.killington.com,1958,ChIJ2WrwuiQq4IkRvei8x3WhGxU,43.60942,-72.79677
Loup Loup Ski Bowl,WA,www.skitheloup.com,1958,ChIJ_____49dnFQRAXRV5sgYUFM,48.39436,-119.91097
Mt. Bachelor LLC,OR,www.mtbachelor.com,1958,ChIJ1wvjjK65uFQR5Uao9AwfHpo,43.98979,-121.68468
Nub's Nob Ski Area,MI,www.nubsnob.com,1958,ChIJtRpqSrmASk0RKzhP2LsfXvw,45.47148,-84.90481
Ski Plattekill,NY,www.plattekill.com,1958,ChIJedbJ1Tdn3IkRaEwPSgT63HM,42.29029,-74.65319
Sugarbush Resort,VT,www.sugarbush.com,1958,ChIJuygslXtttUwRNv8VHPNc3Hg,44.13616,-72.90786
Tyrol Basin Ski & Snowboard Area,WI,www.tyrolbasin.com,1958,ChIJUcqn1CWaB4gR5OY5KKnOGFc,43.04453,-89.78411
Whiteface Mountain,NY,www.whiteface.com,1958,ChIJX-xzhcz9ykwRRPYNIp5v8h0,44.36584,-73.9028
Alyeska Resort,AK,www.alyeskaresort.com,1959,ChIJmzNMTsxkyFYROxKD3uZQ8ks,60.96209,-149.08645
Big Rock Mountain,ME,www.bigrockmaine.com,1959,ChIJzfNEjeeppEwRj0ID4eyeHTo,46.5224,-67.82895
Chestnut Mountain Resort,IL,www.chestnutmtn.com,1959,ChIJU11faqXG4ocR9NUI8Cex8tg,42.31902,-90.39379
"Elk Mountain Ski Resort, Inc.",PA,www.elkskier.com,1959,ChIJFzGB0G0u24kR9xy2OCE26NM,41.7234,-75.55343
Hunter Mountain,NY,www.huntermtn.com,1959,ChIJPcKxHTGt3YkRGq995L0v6xY,42.20289,-74.22464
Marquette Mountain,MI,marquettemountain.com,1959,ChIJs0I18r_fUU0R9jeVnRklWwo,46.50821,-87.42081
McCauley Mtn. Ski Center,NY,www.oldforgeny.com,1959,ChIJKR_9Dk4134kR6u7lC2oa4fM,43.69823,-74.96351
Mt. La Crosse,WI,www.mtlacrosse.com,1959,ChIJC2SXhWAA_IcRyMW58Qw2e-c,43.74347,-91.18273
Powder Ridge Mountain Park & Resort,CT,www.PowderRidgePark.com,1959,ChIJnZdYMBjL54kRrPIhPrTYqA0,41.50165,-72.73645
Red River Ski & Summer Area,NM,www.redriverskiarea.com,1959,ChIJicINNfkVF4cR-lSuBk4CILA,36.70625,-105.41289
"Rotarun Ski Club, Inc.",ID,www.rotarun.org,1959,ChIJcb4IRNLVq1QR12d818YKhak,43.49738,-114.36506
Snowy Range Ski & Recreation Area,WY,www.snowyrangeski.com,1959,ChIJHxhQLseHaIcRRNlTUyh12l4,41.34122,-106.18352
Sunday River Resort,ME,www.sundayriver.com,1959,ChIJx3AGq0vbs0wRJ3La2RUI5pE,44.46841,-70.87741
Thunder Ridge Ski Area,NY,www.thunderridgeski.com,1959,ChIJCz_7hZZQ3YkRq5BywRCG3ls,41.5081,-73.58501
Antelope Butte Mountain Recreation Area,WY,antelopebuttefoundation.org,1960,ChIJORnibIY-SlMRMCjCDn1Zy_I,44.61245,-107.51452
Berkshire East Mountain Resort,MA,www.berkshireeast.com,1960,ChIJfScJ_0DQ4IkRVgkP73FIwF8,42.62115,-72.87714
Black Mountain of Maine,ME,skiblackmountain.org,1960,ChIJN2-MyCpjsUwR72dEUDNzMRo,44.57694,-70.61333
Cockaigne Resort LLC,NY,www.cockaigne.com,1960,ChIJYSeJQou50okRuCxKOVbsQZQ,42.26398,-79.16215
Mt. Abram Ski Area,ME,www.mtabram.com,1960,ChIJJ6fW8NjPs0wRHyNHGe6wQo4,44.3798,-70.70686
Mt. Brighton Ski Area,MI,www.mtbrighton.com,1960,ChIJ-1R4gYdFI4gRW-iInnEyvec,42.54083,-83.81152
Red Lodge Mountain,MT,www.redlodgemountain.com,1960,ChIJx3MXA9bXTlMRG5bdtFbrL5E,45.19081,-109.33642
Saddleback Maine,ME,www.saddlebackmaine.com,1960,ChIJc64vWlQWsUwRfk_4fKpYuW8,44.94622,-70.52708
Swiss Valley Ski & Board Area,MI,www.skiswissvalley.com,1960,ChIJ_____-8cF4gRdQDCeXFJRMg,41.9547,-85.82734
"Titus Mountain Family Ski Center, LLC",NY,www.titusmountain.com,1960,ChIJt5AeTfaTy0wRp5wV9OikoHM,44.76343,-74.23526
Turner Mountain,MT,skiturner.com,1960,ChIJW26OKRCpZlMR2-B-JXTGITo,48.60496,-115.63081
Windham Mountain,NY,windhammountain.com,1960,ChIJb2QyoItM3IkRytonaGO9LnM,42.29373,-74.25671
Breckenridge Ski Resort,CO,www.breckenridge.com,1961,ChIJ5SL_Vd71aocRHD59U1wlA8s,39.47826,-106.07232
Brundage Mountain Resort,ID,www.brundage.com,1961,ChIJ82GwIydnplQR1rmagmEftdE,45.0054,-116.15441
Cataloochee Ski Area,NC,www.cataloochee.com,1961,ChIJmcmzdUhlWYgRAxhRGkjMMI0,35.56244,-83.08996
Cochrans Ski Area,VT,www.cochranskiarea.com,1961,ChIJ125ZhAiEtUwRUSlBdQJH3tE,44.39526,-72.98213
Lost Valley Ski Area,ME,www.lostvalleyski.com,1961,ChIJQWXeIj1BskwRonY77J9MFp0,44.13607,-70.28296
Magic Mountain,VT,www.magicmtn.com,1961,ChIJR7PiRExS4IkRWBQeqBDSPsg,43.20175,-72.77256
Montana Snowbowl,MT,www.montanasnowbowl.com,1961,ChIJVVVVVbHNXVMR9gJGrj_FFfM,47.01444,-113.99957
Mt. Crescent Ski Area,IA,www.skicrescent.com,1961,ChIJVdXuh5-Zk4cRe4WMHOfYSo8,41.39421,-95.86036
Ski Apache Resort,NM,www.skiapache.com,1961,ChIJq6qqqlrX4YYRjvvF8sAJueo,33.39733,-105.78872
Snow Trails,OH,www.snowtrails.com,1961,ChIJF3pJjwrBOYgRoQZiuEskAss,40.67266,-82.50082
Song Mountain Resort,NY,www.skicny.com,1961,ChIJQYD26DgX2okRIX6HArrC0vw,42.77393,-76.15711
Sunburst Sports Park,WI,www.skisunburst.com,1961,ChIJG_Ow1etgBIgRg4dkcXsGbsA,43.49394,-88.22401
Timber Ridge Ski Area,MI,www.timberridgeski.com,1961,ChIJpa79q7lkF4gR4FgARZ4Tlyc,42.39151,-85.78095
Alpine Valley Ski Area,MI,www.skialpinevalley.com,1962,ChIJzSwIL5ChJIgRaHIq0TuXk7s,42.65297,-83.52304
Alpine Valley Ski Area,OH,www.alpinevalleyohio.com,1962,ChIJzSwIL5ChJIgRaHIq0TuXk7s,41.52912,-81.25914
Anthony Lakes,OR,www.anthonylakes.com,1962,ChIJx7YNHhejpFQRAzWMtPXwgrQ,44.96252,-118.23392
Appalachian Ski Mtn.,NC,www.appskimtn.com,1962,ChIJK-1GHO_6UIgRDd1TE4S7M4Q,36.17458,-81.66257
Cascade Mountain,WI,www.cascademountain.com,1962,ChIJ8Rq2LPUiB4gRw_54RSXj_W0,43.50372,-89.51726
Crested Butte Mountain Resort,CO,www.skicb.com,1962,ChIJO4oGmYZtQIcR-qDfkW5kg6Y,38.8991,-106.96576
Eldora Mountain Resort,CO,www.eldora.com,1962,ChIJ0x3kl8_Ga4cRYLmEslbP94Q,39.93722,-105.58268
Four Seasons Golf and Ski Center,NY,www.fourseasonsgolfandski.com,1962,ChIJzRCMfIuO2YkR1N4aZWEmATA,43.03498,-75.97187
HoliMont Ski Area,NY,www.holimont.com,1962,ChIJyWspnJiK0okRCTgy109y8H4,42.27428,-78.69233
Homewood Mountain Resort,CA,www.skihomewood.com,1962,ChIJXwBiR9p_mYARjQbBoGrEsHM,39.08558,-120.16054
King Pine Ski Area,NH,www.kingpine.com,1962,ChIJfTZ4Gm8Fs0wRrtiWTNOZuZ0,43.8679,-71.08925
Mad River Mountain,OH,www.skimadriver.com,1962,ChIJD1idsAsuP4gRdhNALDZPZZU,40.31741,-83.67886
Mt. Ski Gull,MN,www.mountskigull.com,1962,ChIJrbhRvljrtlIRLiEvF7iT9rU,46.44759,-94.37796
